fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
8.07;0.496;0.249;3.53;0.081;1;57.4;0.99619;3.28;0.68;10.67;4
10.34;0.609;0.531;1.58;0.078;1;14.6;1.00014;3.32;0.61;9.5;5
9.84;0.484;0.342;2.89;0.124;4.2;65.2;0.99382;2.91;0.55;9.44;6
9.84;0.264;0.014;0.9;0.053;23.1;53.2;0.99651;3.37;0.67;10.91;5
7.23;0.398;0.181;3.24;0.075;40.3;19.5;0.99461;3.43;0.9;10.96;8
9.77;0.381;0.083;1.46;0.01;17.1;23.1;0.99832;3.34;0.64;11.15;7
9.4;0.417;0.163;1.37;0.132;9.9;44.2;0.99812;3.2;0.61;8.45;5
6.44;0.647;0.916;1.93;0.086;20.7;51.1;0.99436;3.11;0.6;10.6;5
10.45;0.522;0.641;2.03;0.162;17.1;29.5;0.99456;3.29;0.9;11.29;5
9.52;0.879;0.159;2.4;0.142;25.9;111.9;0.9978;3.22;0.51;9.3;5
8.49;0.304;0.312;0.9;0.129;15.9;121.6;0.99723;3.52;0.44;10.29;7
8.88;0.599;0.244;2.01;0.089;17.1;6;0.99819;3.44;0.53;10.16;7
7.26;0.585;0;1.98;0.099;24.5;94.1;0.99662;3.14;0.74;10.97;5
9.18;0.416;0.198;2.64;0.105;10.7;29.1;0.99982;3.14;0.77;10.76;6
8.53;0.62;0.497;1.82;0.01;19.0;54.0;0.99554;3.44;0.76;9.36;6
9.22;0.287;0;3.71;0.115;4.8;101.9;0.99671;3.41;0.49;10.78;5
8.32;0.935;0;3.52;0.073;14.8;109.0;0.99668;3.66;0.58;10.8;6
7.47;0.568;0.457;3.82;0.104;24.0;44.1;0.99714;3.14;0.28;11.67;8
5.72;0.429;0.36;3.52;0.148;13.2;6;0.99587;3.5;0.74;8.4;5
8.26;0.598;0.251;3.28;0.145;12.4;25.0;0.99961;3.53;0.66;11.86;6
6.31;0.643;0;2.07;0.108;31.8;48.8;0.9986;3.25;0.53;9.7;5
10.98;-0.099;0.447;3.09;0.087;17.8;71.6;1.00028;3.18;0.78;9.71;5
9.68;0.284;0;0.9;0.084;14.8;57.8;0.99524;3.12;0.31;10.77;5
8.96;0.391;0.22;0.9;0.041;20.1;91.2;0.99651;3.49;0.93;9.26;5
7.08;0.594;0.596;2.59;0.063;9.7;44.2;0.9943;3.29;0.67;12.39;7
9.96;0.199;0.168;1.85;0.074;22.1;66.7;0.99943;3.15;0.89;8.66;5
8.32;0.611;0.344;0.9;0.033;24.0;89.3;1.00032;3.59;0.31;11.24;4
4.99;0.513;0.1;4.84;0.051;28.4;6;0.99635;3.58;0.93;11.78;6
8.87;0.854;0.113;2.84;0.096;8.7;67.8;0.99688;3.16;0.96;11.27;6
8.03;0.117;0.586;0.9;0.062;36.6;104.3;0.99881;3.67;0.65;10.93;5
8.12;0.372;0.091;1.5;0.041;24.9;44.9;0.99968;3.66;0.66;8.76;6
7.66;0.445;0.111;4.43;0.117;11.5;71.5;0.99845;3.11;0.61;11.29;5
7.13;0.614;0.408;3.6;0.153;10.1;83.7;0.99519;3.25;0.86;11.3;5
8.32;0.297;0.137;1.05;0.098;18.5;82.8;0.99946;3.15;0.69;10.81;6
7.27;0.406;0.402;0.9;0.071;9.3;48.8;0.9971;3.32;0.85;10.66;5
7.77;0.446;0.179;2.0;0.035;16.4;94.5;0.99987;3.32;0.67;9.92;5
10.29;0.932;0.209;2.49;0.087;36.2;6;0.99762;3.08;0.22;8.4;7
5.92;0.309;0.073;0.9;0.084;1;25.7;0.99661;3.14;0.65;11.23;6
8.53;0.31;0.164;1.73;0.121;19.9;42.5;0.99835;3.23;0.63;10.61;6
10.98;0.696;0.346;1.13;0.074;18.8;79.6;0.99878;3.2;0.55;8.43;6
8.18;0.54;0.08;4.43;0.157;1;6;0.99824;3.11;0.59;10.56;5
9.52;0.687;0.301;1.92;0.044;21.8;78.3;0.99854;3.46;0.83;10.6;6
10.78;0.571;0.409;3.72;0.131;19.0;53.5;0.99834;3.32;0.49;10.45;5
5.03;0.558;0.289;0.9;0.037;7.0;85.1;0.99724;3.09;0.67;8.4;5
9.31;0.54;0.468;4.03;0.057;13.0;28.9;0.99362;3.41;0.86;10.41;6
7.46;0.611;0.25;3.74;0.094;4.3;6;0.9943;3.46;0.89;11.17;6
10.72;0.712;0.422;1.0;0.185;36.6;52.7;0.99498;3.18;0.73;9.44;6
8.26;0.564;0.189;4.48;0.071;23.7;6;0.99386;3.41;0.79;10.24;6
6.38;0.478;0;3.44;0.076;36.2;53.3;0.99599;3.39;0.57;8.99;5
8.85;0.873;0.336;2.94;0.117;18.7;17.8;0.99886;3.15;0.65;10.57;7
10.7;0.674;0;2.71;0.062;1.8;6;0.99689;3.4;0.72;10.09;6
6.93;0.309;0.309;0.9;0.122;7.9;91.3;0.99651;3.43;0.74;10.9;5
5.45;0.459;0.323;3.44;0.012;17.5;86.2;0.99636;3.3;0.73;10.68;5
9.49;0.749;0.291;1.96;0.213;1;29.7;0.99938;3.53;0.31;10.54;6
6.48;0.564;0.295;2.96;0.137;11.6;61.0;0.99497;3.5;0.77;10.99;6
8.65;0.336;0.843;4.3;0.141;1.3;10.4;0.99705;3.5;0.48;10.77;6
9.8;0.517;0.081;1.21;0.08;1;52.4;0.99796;3.26;0.57;10.61;3
8.93;0.297;0.348;2.28;0.12;11.5;6;0.99392;3.38;0.92;9.55;6
6.17;0.171;0.058;3.34;0.025;1;52.3;0.99605;3.38;0.78;10.41;5
6.06;0.722;0.474;1.49;0.01;3.7;46.4;0.99717;3.33;0.52;10.81;5
12.06;0.777;0.398;0.96;0.263;3.3;34.2;0.99537;3.56;0.73;8.89;7
8.79;0.627;0.499;1.45;0.046;24.0;63.0;0.99529;3.51;0.75;9.67;6
7.32;0.948;0.363;0.9;0.048;18.4;7.7;1.00121;3.16;0.77;11.98;6
8.13;0.428;0.333;1.01;0.147;3.4;7.1;0.99739;3.5;0.82;9.92;6
11.7;0.862;0.161;1.88;0.119;27.0;32.7;0.99643;3.65;0.64;9.9;6
8.53;0.241;0.273;1.41;0.085;30.7;6;0.99679;3.5;0.37;12.03;6
10.84;0.28;0.215;5.0;0.01;28.3;6;0.99653;3.28;0.8;8.4;6
4.98;0.66;0.46;1.53;0.136;4.8;36.7;0.99616;3.4;0.59;9.1;5
8.4;0.474;0.26;0.9;0.104;6.3;15.0;0.99368;3.49;0.63;11.65;6
8.79;0.777;0;0.94;0.108;1;60.6;0.99436;3.43;0.77;11.41;7
6.91;0.762;0.051;0.9;0.143;1;25.5;0.99783;3.26;0.38;10.62;5
7.98;0.252;0;4.88;0.086;11.5;52.5;0.99413;3.08;0.41;10.99;7
11.29;0.618;0.22;3.86;0.122;26.1;6;0.99534;3.34;0.72;11.44;5
6.56;0.612;0.215;1.49;0.096;15.8;51.0;0.99808;3.0;0.61;9.86;5
7.01;0.725;0.142;1.4;0.087;36.1;56.6;0.99848;3.2;0.67;9.16;8
7.33;0.388;0.774;1.92;0.055;1.3;26.3;0.99668;3.26;0.5;9.64;7
7.62;0.841;0.131;1.72;0.044;4.8;23.4;0.99397;3.15;0.38;8.82;6
5.61;0.457;0.461;0.9;0.05;23.3;61.2;0.99668;3.21;0.8;11.4;7
4.54;0.45;0.341;1.59;0.111;5.2;65.4;0.99375;3.27;0.73;10.99;7
8.1;0.711;0.035;6.2;0.072;19.2;16.9;0.99678;3.29;0.48;10.15;6
7.24;0.316;0.468;0.9;0.114;20.7;113.9;0.99732;2.99;0.52;10.49;6
8.94;0.656;0.183;1.89;0.101;24.3;37.2;0.99584;3.31;0.73;10.04;5
6.95;0.266;0.457;2.05;0.086;9.8;33.5;0.99714;3.15;0.67;10.68;5
8.19;0.113;0.432;2.94;0.07;10.7;8.5;0.99847;3.29;0.57;10.83;5
9.43;0.365;0.128;0.9;0.079;14.6;52.1;0.99532;3.45;0.81;12.07;5
9.56;0.604;0.645;2.16;0.11;16.5;45.0;0.99737;3.24;0.75;11.01;5
8.11;0.492;0.604;2.77;0.09;25.1;51.4;0.99725;3.3;0.45;10.39;6
6.34;0.441;0.262;0.9;0.084;33.5;62.0;0.99825;3.17;0.23;11.14;5
6.57;0.551;0.184;1.03;0.102;13.7;85.8;0.99796;3.42;0.71;9.52;5
6.69;0.748;0.262;0.9;0.105;29.1;76.3;0.99836;3.13;0.69;8.72;5
7.12;0.566;0.159;3.85;0.069;18.2;6;0.99795;3.25;0.73;10.77;6
8.02;0.595;0.317;2.36;0.01;2.8;31.3;0.99513;3.26;0.77;11.11;6
8.33;0.165;0.18;0.9;0.052;10.1;26.4;0.99608;3.25;0.56;12.03;5
10.43;0.546;0.023;3.5;0.01;34.9;36.8;0.99464;3.17;1.04;10.82;6
8.2;0.64;0.222;1.38;0.084;16.8;75.6;0.99491;3.24;0.71;10.24;6
8.0;0.568;0.464;1.81;0.125;12.7;6;0.99597;3.28;0.75;10.62;6
7.68;0.4;0.155;1.16;0.052;18.8;47.0;0.99577;3.2;0.72;9.88;6
6.51;0.7;0.324;2.4;0.084;13.6;68.0;0.99765;3.4;0.65;10.54;6
9.09;0.684;0.206;0.95;0.13;1;105.3;0.99835;3.34;0.67;12.29;6
6.67;0.274;0.137;1.93;0.098;25.1;50.3;0.99754;3.11;0.85;8.4;5
9.05;0.416;0.074;1.63;0.055;21.4;30.7;0.99815;3.4;0.83;11.38;7
9.68;0.357;0.519;3.63;0.01;16.4;64.9;0.99754;3.51;0.67;8.86;5
8.61;0.319;0.279;0.9;0.01;23.4;6;0.99564;3.09;0.42;9.99;5
7.61;0.384;0.327;2.47;0.103;6.9;45.2;0.99608;3.33;0.69;10.05;6
9.8;0.331;0.058;2.47;0.01;9.7;75.0;0.99544;3.39;0.43;9.89;5
10.1;0.605;0.304;3.58;0.061;13.1;8.5;0.99737;3.41;0.49;10.86;6
