fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.61;0.33;0.306;13.04;0.052;37.6;107.7;0.99643;3.09;0.59;11.71;5
7.92;0.244;0.469;6.75;0.042;32.7;164.5;0.99527;3.06;0.67;10.79;6
6.81;0.246;0.299;6.41;0.04;25.7;145.9;0.9969;3.31;0.47;10.75;6
7.77;0.181;0.256;6.48;0.086;40.3;99.6;1.0002;3.23;0.3;11.7;5
3.88;0.368;0.525;11.99;0.04;48.4;139.7;0.99403;3.24;0.7;10.2;6
6.45;0.447;0.397;4.53;0.066;54.6;177.1;0.99427;3.23;0.64;10.53;6
6.39;0.427;0.258;2.64;0.037;48.8;70.3;0.99213;3.21;0.43;9.95;5
6.36;0.206;0.561;12.8;0.037;36.6;61.7;0.99519;3.18;0.47;11.16;7
6.77;0.322;0.233;4.0;0.043;43.1;143.0;0.99271;3.16;0.63;10.08;7
8.13;0.376;0.215;5.09;0.047;21.4;97.1;0.99169;3.04;0.56;8.24;8
7.6;0.254;0.278;0.6;0.065;52.1;111.0;0.9936;3.35;0.68;10.81;6
5.59;0.049;0.392;6.03;0.064;38.2;151.2;0.99269;3.15;0.5;8.86;6
7.63;0.434;0.25;9.57;0.041;13.9;95.2;0.99538;3.26;0.45;11.3;6
6.18;0.273;0.366;5.9;0.055;45.4;181.0;0.99334;3.18;0.56;10.47;5
6.74;0.361;0.507;0.6;0.049;37.0;144.2;0.99413;3.19;0.51;11.34;5
7.86;0.292;0.335;10.6;0.041;18.5;139.8;0.99545;3.37;0.49;8.59;9
6.21;0.314;0.376;6.72;0.041;67.1;115.2;0.99025;3.36;0.34;8.87;5
4.89;0.286;0.326;0.6;0.009;29.5;128.2;0.98913;3.08;0.41;8.58;5
6.5;0.523;0.313;15.92;0.03;16.7;124.0;0.99389;3.3;0.73;11.38;7
7.85;0.257;0.297;2.88;0.053;40.5;191.9;0.98761;3.25;0.52;11.31;6
6.35;0.188;0.294;6.05;0.072;37.8;29.5;0.99108;3.57;0.52;11.4;7
7.65;0.285;0.294;9.74;0.041;37.5;94.0;1.00047;3.1;0.44;8.84;7
6.2;0.226;0.362;8.05;0.049;58.0;205.2;0.99301;2.92;0.45;9.04;5
4.96;0.268;0.251;1.41;0.015;18.8;162.0;0.99366;3.25;0.45;9.09;5
6.66;0.271;0.441;8.78;0.058;56.0;106.8;0.99491;3.31;0.57;10.25;8
7.55;0.287;0.363;8.3;0.053;2;102.2;0.99314;2.97;0.44;12.11;7
6.4;0.369;0.316;13.85;0.05;41.8;125.2;0.99729;3.22;0.51;10.88;6
7.2;0.284;0.198;4.07;0.041;36.4;126.7;0.98911;3.38;0.78;11.91;7
7.83;0.195;0.384;11.62;0.069;33.4;190.5;0.99152;3.32;0.32;11.39;5
7.55;0.085;0.507;2.0;0.033;60.6;174.0;0.99353;3.23;0.55;8.0;7
7.77;0.22;0.549;13.37;0.051;34.3;142.7;0.98905;3.19;0.44;9.92;6
6.37;0.281;0.349;12.84;0.023;44.6;116.5;0.99498;3.42;0.42;10.51;6
6.41;0.374;0.299;12.42;0.044;50.5;84.1;0.99188;3.28;0.45;9.33;5
8.5;0.487;0.496;4.48;0.009;56.5;165.9;0.99141;3.26;0.42;9.52;7
6.18;0.209;0.199;3.31;0.03;80.3;164.6;0.99678;3.3;0.36;10.5;5
7.23;0.336;0.479;0.6;0.039;48.9;77.5;0.99639;3.13;0.54;10.91;7
7.08;0.208;0.372;6.04;0.025;21.5;181.9;0.99773;3.54;0.44;9.67;5
7.45;0.123;0.487;11.12;0.031;35.8;88.7;0.99285;3.18;0.49;10.07;5
6.32;0.2;0.143;0.6;0.046;44.8;74.4;0.99162;3.17;0.53;9.06;8
5.46;0.391;0.567;7.52;0.074;2;148.8;0.99562;3.28;0.42;9.96;7
6.28;0.355;0.556;10.17;0.061;24.8;203.4;0.99373;3.19;0.62;10.03;5
6.64;0.077;0.065;16.31;0.048;41.1;132.0;0.99266;2.92;0.56;8.57;5
5.56;0.346;0.386;9.61;0.04;52.2;114.9;0.99506;3.24;0.42;8.61;6
5.66;0.308;0.153;10.89;0.071;50.0;64.2;0.99845;3.21;0.22;9.82;6
5.79;0.391;0.379;12.36;0.064;48.9;88.5;0.99516;3.07;0.48;10.64;5
7.1;0.381;0.359;12.53;0.045;31.8;186.4;0.99221;3.06;0.3;10.41;5
6.84;0.112;0.375;5.15;0.022;42.9;131.6;0.99852;3.23;0.61;11.6;8
7.85;0.453;0.224;0.6;0.009;8.8;138.0;0.99748;3.26;0.54;10.04;6
7.36;0.104;0.451;6.87;0.044;41.7;87.3;0.9918;2.98;0.42;11.36;7
6.71;0.278;0.229;0.6;0.035;64.6;195.8;0.9986;3.28;0.47;11.06;5
6.1;0.414;0.327;6.93;0.018;42.8;111.3;0.9937;3.16;0.54;8.74;6
5.66;0.337;0.34;16.26;0.064;27.0;137.6;0.98785;3.27;0.57;10.3;7
5.25;0.322;0.227;18.01;0.047;38.6;178.0;1.00141;3.14;0.37;8.82;7
7.75;0.44;0.28;0.6;0.014;12.0;107.4;0.99284;3.3;0.38;10.54;7
6.97;0.268;0.17;9.79;0.009;30.3;166.4;0.99573;3.3;0.61;11.12;6
7.23;0.16;0.257;9.11;0.042;22.9;89.2;0.98789;3.26;0.43;9.99;5
6.74;0.366;0.108;5.42;0.072;32.1;273.3;0.98845;3.21;0.39;9.85;7
6.58;0.346;0.23;13.55;0.055;31.1;122.1;0.99366;3.02;0.53;10.74;6
6.43;0.289;0.193;10.31;0.058;54.1;207.3;0.99075;2.99;0.54;9.24;5
6.49;0.317;0.364;1.12;0.041;2;144.4;0.99088;3.11;0.5;9.68;4
7.56;0.332;0.551;1.71;0.051;45.0;71.4;0.98432;3.25;0.49;9.1;6
7.05;0.391;0.304;9.81;0.06;36.4;64.6;0.99597;3.29;0.38;9.9;5
7.68;0.4;0.382;2.09;0.079;18.9;170.4;1.00031;3.15;0.54;11.87;5
7.69;0.307;0.334;7.12;0.034;21.8;151.3;0.9973;3.45;0.58;10.81;6
7.59;0.377;0.309;3.99;0.052;25.8;120.3;0.98928;3.15;0.57;9.07;6
6.75;0.256;0.311;17.7;0.024;32.8;127.0;0.99231;3.1;0.3;10.67;6
6.21;0.398;0.357;10.79;0.013;13.3;147.3;0.99363;2.81;0.39;12.64;6
6.84;0.291;0.397;13.31;0.036;52.1;134.2;0.99048;3.32;0.4;10.01;6
